,POS,Time,PTS,J,V,E,D,GP,GC,SG,percento,Recentes
0,1º,Equador,3,1,1,0,0,2,0,2,100%,Vitória
1,1º,Holanda,3,1,1,0,0,2,0,2,100%,Vitória
2,3º,Catar,0,1,0,0,1,0,2,-2,0%,Derrota
3,3º,Senegal,0,1,0,0,1,0,2,-2,0%,Derrota
4,1º,Inglaterra,3,1,1,0,0,6,2,4,100%,Vitória
5,2º,Estados Unidos,1,1,0,1,0,1,1,0,33%,Empate
6,2º,País de Gales,1,1,0,1,0,1,1,0,33%,Empate
7,4º,Irã,0,1,0,0,1,2,6,-4,0%,-
8,1º,Arábia Saudita,0,0,0,0,0,0,0,0,0%,-
9,1º,Argentina,0,0,0,0,0,0,0,0,0%,-
10,1º,México,0,0,0,0,0,0,0,0,0%,-
11,1º,Polônia,0,0,0,0,0,0,0,0,0%,-
12,1º,Austrália,0,0,0,0,0,0,0,0,0%,-
13,1º,Dinamarca,0,0,0,0,0,0,0,0,0%,-
14,1º,França,0,0,0,0,0,0,0,0,0%,-
15,1º,Tunísia,0,0,0,0,0,0,0,0,0%,-
16,1º,Alemanha,0,0,0,0,0,0,0,0,0%,-
17,1º,Costa Rica,0,0,0,0,0,0,0,0,0%,-
18,1º,Espanha,0,0,0,0,0,0,0,0,0%,-
19,1º,Japão,0,0,0,0,0,0,0,0,0%,-
20,1º,Bélgica,0,0,0,0,0,0,0,0,0%,-
21,1º,Canadá,0,0,0,0,0,0,0,0,0%,-
22,1º,Croácia,0,0,0,0,0,0,0,0,0%,-
23,1º,Marrocos,0,0,0,0,0,0,0,0,0%,-
24,1º,Brasil,0,0,0,0,0,0,0,0,0%,-
25,1º,Camarões,0,0,0,0,0,0,0,0,0%,-
26,1º,Sérvia,0,0,0,0,0,0,0,0,0%,-
27,1º,Suíça,0,0,0,0,0,0,0,0,0%,-
28,1º,Coreia do Sul,0,0,0,0,0,0,0,0,0%,-
29,1º,Gana,0,0,0,0,0,0,0,0,0%,-
30,1º,Portugal,0,0,0,0,0,0,0,0,0%,-
31,1º,Uruguai,0,0,0,0,0,0,0,0,0%,-
